task_type,has_bug_fixing,has_code_refactoring,loc,files_touched,author,committer,authored_at,commited_at,commit_time_in_day,author_experience,committer_experience,code_quality,contribution_complexity,communication,total_nloc,avg_nloc,avg_ccn,avg_token,fun_cnt,warning_cnt,fun_rate,nloc_rate,duration
8,0,0,1064635,2233,22,22,2016-11-08 04:49:49,2016-11-08 04:49:49,1,0,0,1.0,4.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,22,22,2016-11-09 03:57:13,2016-11-09 03:57:13,1,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,1,1,22,22,2016-11-09 11:51:58,2016-11-09 11:51:58,2,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,3797,55,22,22,2016-12-31 17:08:39,2016-12-31 17:08:39,3,0,0,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,11,1,22,22,2016-12-31 17:30:17,2016-12-31 17:30:17,3,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,0,4,1,22,22,2016-12-31 17:31:31,2016-12-31 17:31:31,3,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,0,1,22,22,2016-12-31 17:32:38,2016-12-31 17:32:38,3,0,0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,5,1,22,22,2017-01-06 01:35:45,2017-01-06 01:35:45,1,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,6,1,22,22,2017-01-06 01:42:08,2017-01-06 01:42:08,1,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,32897,57,22,22,2017-01-15 01:17:28,2017-01-15 01:17:28,1,1,1,1.0,2.0,0,-4142.0,-7.4,1.4999999999999996,9.399999999999999,276.0,19.0,0.03,-0.009999999999999995,0.0
7,0,0,5190,14,22,22,2017-01-15 13:59:38,2017-01-15 13:59:38,3,1,1,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0,1,365,26,22,22,2017-03-18 14:41:14,2017-03-18 14:41:14,3,1,1,1.0,2.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,4639,40,22,22,2017-04-18 00:08:57,2017-04-18 00:10:56,1,1,1,1.0,3.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0330555555555555
1,0,0,14,1,22,22,2017-04-18 01:36:49,2017-04-18 01:36:49,1,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,2,1,22,22,2017-04-18 01:37:24,2017-04-18 01:37:24,1,1,1,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
