task_type,has_bug_fixing,has_code_refactoring,loc,files_touched,author,committer,authored_at,commited_at,commit_time_in_day,author_experience,committer_experience,code_quality,contribution_complexity,communication,total_nloc,avg_nloc,avg_ccn,avg_token,fun_cnt,warning_cnt,fun_rate,nloc_rate,duration
8,0,0,7321,26,25,25,2005-09-03 12:24:40,2005-09-03 12:24:40,3,0,0,1.0,2.0,0,4929,13.3,2.5,89.9,304,3,0.01,0.08,0.0
8,0,0,74,6,25,25,2005-09-04 16:18:07,2005-09-04 16:18:07,3,0,0,1.0,1.0,0,4929,13.3,2.5,90.2,304,3,0.01,0.08,0.0
8,0,0,4,2,41,41,2005-10-15 13:51:04,2005-10-15 13:51:04,3,0,0,1.0,1.0,0,5018,13.5,2.5,91.3,306,3,0.01,0.08,0.0
8,0,0,77,5,41,41,2005-10-31 03:56:35,2005-10-31 03:56:35,1,0,0,1.0,1.0,0,5149,13.5,2.5,91.6,314,3,0.01,0.08,0.0
8,0,0,42,6,25,25,2005-12-09 15:59:05,2005-12-09 15:59:05,3,0,0,1.0,1.0,0,5325,13.7,2.6,92.7,321,3,0.01,0.07,0.0
7,0,0,10,4,25,25,2005-12-11 17:37:52,2005-12-11 17:37:52,3,0,0,1.0,1.0,0,5324,13.7,2.6,92.6,321,3,0.01,0.07,0.0
8,0,0,26,3,25,25,2005-12-23 10:12:16,2005-12-23 10:12:16,2,0,0,1.0,1.0,0,5321,13.7,2.6,92.6,321,3,0.01,0.07,0.0
7,0,0,78,1,8,8,2005-12-28 17:31:13,2005-12-28 17:31:13,3,0,0,1.0,2.0,0,5321,13.7,2.6,92.6,321,3,0.01,0.07,0.0
8,0,0,75,2,19,19,2006-01-07 12:21:41,2006-01-07 12:21:41,3,0,0,1.0,2.0,0,5321,13.7,2.6,92.6,321,3,0.01,0.07,0.0
1,0,0,8,2,2,2,2006-01-10 00:10:37,2006-01-10 00:10:37,1,0,0,1.0,1.0,0,5323,13.7,2.6,92.6,321,3,0.01,0.07,0.0
8,0,0,2,1,25,25,2006-01-23 13:02:24,2006-01-23 13:02:24,3,1,1,1.0,1.0,0,5408,13.7,2.6,92.6,321,3,0.01,0.07,0.0
2,1,0,2,1,25,25,2006-01-23 15:23:46,2006-01-23 15:23:46,3,1,1,0.9166666666666666,1.0,0,5409,13.7,2.6,92.6,321,3,0.01,0.07,0.0
2,1,0,3,1,25,25,2006-01-23 17:28:53,2006-01-23 17:28:53,3,1,1,0.8461538461538461,1.0,0,5410,13.7,2.6,92.6,321,3,0.01,0.07,0.0
